"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",11,2016-01-24,51.2,-6.2,250000897,3.29986111111111,"trawlers","IRL",1,2016
"2",12,2016-01-24,51.2,-6.4,250000897,0.881805555555556,"trawlers","IRL",1,2016
"3",13,2016-01-24,51.2,2.4,227322630,0.338888888888889,"fixed_gear","FRA",1,2016
"4",14,2016-01-24,51.2,2.3,227322630,0.982222222222222,"fixed_gear","FRA",1,2016
"5",15,2016-01-24,51.2,-7.9,228174600,9.76680555555556,"trawlers","FRA",1,2016
"6",16,2016-01-24,51.2,-8,228174600,3.50666666666667,"trawlers","FRA",1,2016
"7",18,2016-01-24,51.2,-5.9,227314000,0.6425,"trawlers","FRA",1,2016
"8",19,2016-01-24,51.2,-6.2,250002776,8.85333333333333,"trawlers","IRL",1,2016
"9",20,2016-01-24,51.2,2.9,205308000,0.870138888888889,"trawlers","BEL",1,2016
"10",21,2016-01-24,51.2,3,205308000,0.275555555555556,"trawlers","BEL",1,2016
"11",24,2016-01-24,51.2,2.3,227311230,7.19138888888889,"fixed_gear","FRA",1,2016
"12",25,2016-01-24,51.2,-4.6,235113634,1.10180555555556,"fixed_gear","GBR",1,2016
"13",26,2016-01-24,51.2,-4.4,235113634,0.274861111111111,"fixed_gear","GBR",1,2016
"14",27,2016-01-24,51.2,-4.5,235113634,1.39027777777778,"fixed_gear","GBR",1,2016
"15",28,2016-01-24,51.2,-4.7,235113634,2.07291666666667,"fixed_gear","GBR",1,2016
"16",29,2016-01-24,51.2,2.8,205273000,3.80472222222222,"trawlers","BEL",1,2016
"17",30,2016-01-24,51.2,2.9,205273000,0.259444444444444,"trawlers","BEL",1,2016
"18",31,2016-01-24,51.2,2.7,205273000,1.05069444444444,"trawlers","BEL",1,2016
"19",32,2016-01-24,51.2,-5.9,205241000,4.31805555555556,"trawlers","BEL",1,2016
"20",33,2016-01-24,51.2,-6.2,250000594,10.3702777777778,"trawlers","IRL",1,2016
"21",34,2016-01-24,51.2,2.7,205271000,1.21694444444444,"trawlers","BEL",1,2016
"22",35,2016-01-24,51.2,2.6,205271000,1.04388888888889,"trawlers","BEL",1,2016
"23",36,2016-01-24,51.2,2.5,205271000,0.333472222222222,"trawlers","BEL",1,2016
"24",37,2016-01-24,51.2,-5.3,205153000,1.43111111111111,"trawlers","BEL",1,2016
"25",38,2016-01-24,51.2,-6.3,250000626,2.3475,"trawlers","IRL",1,2016
"26",39,2016-01-24,51.2,-6.4,250000626,18.8323611111111,"trawlers","IRL",1,2016
"27",40,2016-01-24,51.2,-8.3,250379000,1.46944444444444,"trawlers","IRL",1,2016
"28",41,2016-01-24,51.2,-8.2,250379000,3.17486111111111,"trawlers","IRL",1,2016
"29",42,2016-01-24,51.2,-8.6,250379000,1.50375,"trawlers","IRL",1,2016
"30",43,2016-01-24,51.2,-8.5,250379000,2.77916666666667,"trawlers","IRL",1,2016
"31",65,2016-01-24,51.3,-6.1,250000897,4.93597222222222,"trawlers","IRL",1,2016
"32",66,2016-01-24,51.3,-6.2,250000897,1.65652777777778,"trawlers","IRL",1,2016
"33",67,2016-01-24,51.3,-8.1,228174600,5.82666666666667,"trawlers","FRA",1,2016
"34",68,2016-01-24,51.3,-8,228174600,1.89944444444444,"trawlers","FRA",1,2016
"35",69,2016-01-24,51.3,-8.2,228174600,3.26777777777778,"trawlers","FRA",1,2016
"36",70,2016-01-24,51.3,3,205010000,1.22527777777778,"trawlers","BEL",1,2016
"37",71,2016-01-24,51.3,3.1,205010000,2.85388888888889,"trawlers","BEL",1,2016
"38",72,2016-01-24,51.3,3.3,205010000,1.06569444444444,"trawlers","BEL",1,2016
"39",73,2016-01-24,51.3,-5.9,227314000,0.857083333333333,"trawlers","FRA",1,2016
"40",74,2016-01-24,51.3,-5.8,227314000,1.95527777777778,"trawlers","FRA",1,2016
"41",75,2016-01-24,51.3,-6.2,250002776,8.42694444444444,"trawlers","IRL",1,2016
"42",76,2016-01-24,51.3,2.8,205308000,0.410555555555556,"trawlers","BEL",1,2016
"43",77,2016-01-24,51.3,-14.1,232006270,9.08569444444444,"fixed_gear","GBR",1,2016
"44",78,2016-01-24,51.3,-14,232006270,1.92083333333333,"fixed_gear","GBR",1,2016
"45",79,2016-01-24,51.3,-14.4,232006270,5.97833333333333,"fixed_gear","GBR",1,2016
"46",80,2016-01-24,51.3,2.3,227311230,3.88055555555556,"fixed_gear","FRA",1,2016
"47",81,2016-01-24,51.3,-7.9,250001293,0.594583333333333,"trawlers","IRL",1,2016
"48",82,2016-01-24,51.3,-8.7,250001293,1.04402777777778,"trawlers","IRL",1,2016
"49",83,2016-01-24,51.3,-8,250001293,0.805416666666667,"trawlers","IRL",1,2016
"50",84,2016-01-24,51.3,-8.6,250001293,1.05611111111111,"trawlers","IRL",1,2016
"51",87,2016-01-24,51.3,-6,205241000,13.4395833333333,"trawlers","BEL",1,2016
"52",88,2016-01-24,51.3,-5.7,250003127,1.34944444444444,"trawlers","IRL",1,2016
"53",89,2016-01-24,51.3,2.8,205315000,1.41680555555556,"trawlers","BEL",1,2016
"54",90,2016-01-24,51.3,2.9,205315000,0.272777777777778,"trawlers","BEL",1,2016
"55",91,2016-01-24,51.3,-14.5,235004110,11.6916666666667,"drifting_longlines","GBR",1,2016
"56",92,2016-01-24,51.3,-6.2,250000594,18.9363888888889,"trawlers","IRL",1,2016
"57",93,2016-01-24,51.3,-8.5,250379000,1.55277777777778,"trawlers","IRL",1,2016
"58",94,2016-01-24,51.3,-8.6,250379000,1.80541666666667,"trawlers","IRL",1,2016
"59",95,2016-01-24,51.3,-8.4,250379000,1.56666666666667,"trawlers","IRL",1,2016
"60",116,2016-01-24,51.4,-6,227314000,2.32319444444444,"trawlers","FRA",1,2016
"61",117,2016-01-24,51.4,-6.1,227314000,1.08541666666667,"trawlers","FRA",1,2016
"62",118,2016-01-24,51.4,-5.9,227314000,1.71805555555556,"trawlers","FRA",1,2016
"63",119,2016-01-24,51.4,-6.2,250002776,1.935,"trawlers","IRL",1,2016
"64",120,2016-01-24,51.4,-14,232006270,6.41,"fixed_gear","GBR",1,2016
"65",121,2016-01-24,51.4,-8,250001293,0.641805555555556,"trawlers","IRL",1,2016
"66",122,2016-01-24,51.4,-8.2,250001293,1.07236111111111,"trawlers","IRL",1,2016
"67",123,2016-01-24,51.4,-8.4,250001293,1.14486111111111,"trawlers","IRL",1,2016
"68",124,2016-01-24,51.4,-8.1,250001293,0.879305555555556,"trawlers","IRL",1,2016
"69",125,2016-01-24,51.4,-7.9,250001293,2.02166666666667,"trawlers","IRL",1,2016
"70",126,2016-01-24,51.4,-8.3,250001293,1.00541666666667,"trawlers","IRL",1,2016
"71",127,2016-01-24,51.4,1.3,235105964,1.55138888888889,"trawlers","GBR",1,2016
"72",128,2016-01-24,51.4,-5.9,250003127,3.38736111111111,"trawlers","IRL",1,2016
"73",129,2016-01-24,51.4,-5.7,250003127,2.10472222222222,"trawlers","IRL",1,2016
"74",130,2016-01-24,51.4,-5.8,250003127,2.85791666666667,"trawlers","IRL",1,2016
"75",132,2016-01-24,51.4,-53.9,316013290,4.71583333333333,"trawlers","CAN",1,2016
"76",133,2016-01-24,77,11.9,273552400,0.809166666666667,"trawlers","RUS",1,2016
"77",134,2016-01-24,77,11.8,273552400,1.68972222222222,"trawlers","RUS",1,2016
"78",135,2016-01-24,77,12.4,273552400,1.59111111111111,"trawlers","RUS",1,2016
"79",136,2016-01-24,77,12,273552400,1.63625,"trawlers","RUS",1,2016
"80",137,2016-01-24,77,12.1,273354820,1.61708333333333,"trawlers","RUS",1,2016
"81",138,2016-01-24,77,11.9,273523100,2.55680555555556,"trawlers","RUS",1,2016
"82",139,2016-01-24,77,11.7,273891000,1.63402777777778,"trawlers","RUS",1,2016
"83",140,2016-01-24,77,11.9,273891000,0.896666666666666,"trawlers","RUS",1,2016
"84",141,2016-01-24,77,12,273421520,0.832222222222222,"trawlers","RUS",1,2016
"85",142,2016-01-24,77,11.9,273421520,3.23361111111111,"trawlers","RUS",1,2016
"86",143,2016-01-24,77,12.1,273421520,0.824027777777777,"trawlers","RUS",1,2016
"87",164,2016-01-24,51.5,3.1,244245000,0.547361111111111,"trawlers","NLD",1,2016
"88",165,2016-01-24,51.5,-10.4,250196000,0.510138888888889,"trawlers","IRL",1,2016
"89",169,2016-01-24,51.5,-11.3,226045000,9.96861111111111,"trawlers","FRA",1,2016
"90",170,2016-01-24,51.5,-5.9,227314000,1.28847222222222,"trawlers","FRA",1,2016
"91",171,2016-01-24,51.5,-6,227314000,7.56097222222222,"trawlers","FRA",1,2016
"92",172,2016-01-24,51.5,3.2,245244000,1.63458333333333,"trawlers","NLD",1,2016
"93",173,2016-01-24,51.5,-8,250001293,1.77333333333333,"trawlers","IRL",1,2016
"94",174,2016-01-24,51.5,-7.9,250001293,0.468611111111111,"trawlers","IRL",1,2016
"95",175,2016-01-24,51.5,-53.7,316100000,0.920833333333333,"trawlers","CAN",1,2016
"96",176,2016-01-24,51.5,-6,250003127,1.44652777777778,"trawlers","IRL",1,2016
"97",177,2016-01-24,51.5,-5.9,250003127,1.14597222222222,"trawlers","IRL",1,2016
"98",178,2016-01-24,51.5,-53.8,316323000,7.03069444444444,"trawlers","CAN",1,2016
"99",179,2016-01-24,51.5,-53.9,316323000,0.894444444444444,"trawlers","CAN",1,2016
"100",180,2016-01-24,51.5,-14.6,235004110,10.5172222222222,"drifting_longlines","GBR",1,2016
"101",185,2016-01-24,51.5,-53.9,316013290,6.30833333333333,"trawlers","CAN",1,2016
"102",186,2016-01-24,51.5,-14.2,250002427,5.55416666666667,"trawlers","IRL",1,2016
"103",187,2016-01-24,77.1,11.6,273552400,3.22916666666667,"trawlers","RUS",1,2016
"104",188,2016-01-24,77.1,11.7,273552400,1.64263888888889,"trawlers","RUS",1,2016
"105",189,2016-01-24,77.1,11.7,273354820,0.834722222222222,"trawlers","RUS",1,2016
"106",190,2016-01-24,77.1,11.6,273354820,1.65597222222222,"trawlers","RUS",1,2016
"107",191,2016-01-24,77.1,11.8,273354820,0.785972222222222,"trawlers","RUS",1,2016
"108",192,2016-01-24,77.1,11.5,273523100,1.60263888888889,"trawlers","RUS",1,2016
"109",193,2016-01-24,77.1,11.6,273523100,1.59583333333333,"trawlers","RUS",1,2016
"110",194,2016-01-24,77.1,11.7,273891000,1.62111111111111,"trawlers","RUS",1,2016
"111",195,2016-01-24,77.1,11.8,273891000,1.63611111111111,"trawlers","RUS",1,2016
"112",196,2016-01-24,77.1,11.5,273891000,3.26263888888889,"trawlers","RUS",1,2016
"113",197,2016-01-24,77.1,11.6,273891000,3.2813888888889,"trawlers","RUS",1,2016
"114",198,2016-01-24,77.1,11.6,273421520,1.63055555555556,"trawlers","RUS",1,2016
"115",199,2016-01-24,77.1,11.7,273421520,3.28625,"trawlers","RUS",1,2016
"116",200,2016-01-24,77.1,11.5,273421520,1.64722222222222,"trawlers","RUS",1,2016
"117",201,2016-01-24,77.1,11.9,273421520,3.24861111111111,"trawlers","RUS",1,2016
"118",233,2016-01-24,51.6,-10.6,250196000,1.03694444444444,"trawlers","IRL",1,2016
"119",234,2016-01-24,51.6,-10.9,250196000,1.09111111111111,"trawlers","IRL",1,2016
"120",235,2016-01-24,51.6,-10.5,250196000,1.30208333333333,"trawlers","IRL",1,2016
"121",236,2016-01-24,51.6,-10.7,250196000,1.02611111111111,"trawlers","IRL",1,2016
"122",241,2016-01-24,51.6,-6,227314000,2.21597222222222,"trawlers","FRA",1,2016
"123",242,2016-01-24,51.6,-5.9,227314000,8.34722222222222,"trawlers","FRA",1,2016
"124",243,2016-01-24,51.6,-7.8,250001293,2.68444444444445,"trawlers","IRL",1,2016
"125",244,2016-01-24,51.6,-7.9,250001293,0.844444444444444,"trawlers","IRL",1,2016
"126",245,2016-01-24,51.6,-8,250001293,0.754305555555556,"trawlers","IRL",1,2016
"127",246,2016-01-24,51.6,-53.7,316100000,11.56,"trawlers","CAN",1,2016
"128",247,2016-01-24,51.6,1.3,235084726,0.820694444444444,"trawlers","GBR",1,2016
"129",248,2016-01-24,51.6,1.2,235084726,3.4225,"trawlers","GBR",1,2016
"130",249,2016-01-24,51.6,1.1,235084726,1.92041666666667,"trawlers","GBR",1,2016
"131",252,2016-01-24,51.6,-53.7,316323000,5.74194444444444,"trawlers","CAN",1,2016
"132",253,2016-01-24,51.6,-53.8,316323000,4.83958333333333,"trawlers","CAN",1,2016
"133",257,2016-01-24,51.6,-53.7,316013290,4.19333333333333,"trawlers","CAN",1,2016
"134",258,2016-01-24,51.6,-53.9,316013290,1.47,"trawlers","CAN",1,2016
"135",259,2016-01-24,51.6,-53.8,316013290,1.66777777777778,"trawlers","CAN",1,2016
"136",260,2016-01-24,51.6,-14.2,250002427,0.584444444444444,"trawlers","IRL",1,2016
"137",261,2016-01-24,51.6,-14.1,250002427,6.25263888888889,"trawlers","IRL",1,2016
"138",262,2016-01-24,51.6,-14,250002427,2.78388888888889,"trawlers","IRL",1,2016
"139",263,2016-01-24,77.2,11.4,273552400,4.03527777777778,"trawlers","RUS",1,2016
"140",264,2016-01-24,77.2,11.5,273354820,1.62263888888889,"trawlers","RUS",1,2016
"141",265,2016-01-24,77.2,11.4,273354820,4.96138888888889,"trawlers","RUS",1,2016
"142",266,2016-01-24,77.2,11.4,273523100,2.45430555555556,"trawlers","RUS",1,2016
"143",267,2016-01-24,77.2,11.5,273891000,1.59486111111111,"trawlers","RUS",1,2016
"144",268,2016-01-24,77.2,11.4,273891000,1.61652777777778,"trawlers","RUS",1,2016
"145",269,2016-01-24,77.2,11.4,273421520,3.27972222222222,"trawlers","RUS",1,2016
"146",302,2016-01-24,51.7,1.4,235016196,0.220555555555556,"trawlers","GBR",1,2016
"147",303,2016-01-24,51.7,1.1,235016196,1.37722222222222,"trawlers","GBR",1,2016
"148",304,2016-01-24,51.7,1,235016196,0.266666666666667,"trawlers","GBR",1,2016
"149",305,2016-01-24,51.7,1.2,235016196,0.695555555555555,"trawlers","GBR",1,2016
"150",306,2016-01-24,51.7,1.5,235016196,0.328888888888889,"trawlers","GBR",1,2016
"151",307,2016-01-24,51.7,1.3,235016196,1.75652777777778,"trawlers","GBR",1,2016
"152",312,2016-01-24,51.7,-11,250196000,0.298333333333333,"trawlers","IRL",1,2016
"153",313,2016-01-24,51.7,-10.9,250196000,6.38666666666667,"trawlers","IRL",1,2016
"154",314,2016-01-24,51.7,-10.8,250196000,0.256666666666667,"trawlers","IRL",1,2016
"155",316,2016-01-24,51.7,-7.8,250001293,0.66625,"trawlers","IRL",1,2016
"156",317,2016-01-24,51.7,-7.7,250001293,4.68763888888889,"trawlers","IRL",1,2016
"157",318,2016-01-24,51.7,-53.7,316100000,5.22152777777778,"trawlers","CAN",1,2016
"158",320,2016-01-24,51.7,1.2,235084726,0.795555555555556,"trawlers","GBR",1,2016
"159",321,2016-01-24,51.7,1.3,235084726,2.1025,"trawlers","GBR",1,2016
"160",322,2016-01-24,51.7,1.4,235084726,0.823611111111111,"trawlers","GBR",1,2016
"161",325,2016-01-24,51.7,-53.7,316323000,3.72291666666667,"trawlers","CAN",1,2016
"162",329,2016-01-24,51.7,-53.6,316013290,0.298194444444444,"trawlers","CAN",1,2016
"163",330,2016-01-24,51.7,-53.7,316013290,4.61152777777778,"trawlers","CAN",1,2016
"164",331,2016-01-24,51.7,-14.2,250000884,1.32027777777778,"trawlers","IRL",1,2016
"165",332,2016-01-24,51.7,-14.3,250000884,6.97944444444444,"trawlers","IRL",1,2016
"166",333,2016-01-24,77.3,11.3,273354820,3.26236111111111,"trawlers","RUS",1,2016
"167",334,2016-01-24,77.3,11.3,273891000,2.40097222222222,"trawlers","RUS",1,2016
"168",335,2016-01-24,77.3,11.3,273421520,1.6,"trawlers","RUS",1,2016
"169",375,2016-01-24,51.8,1.3,235016196,1.28625,"trawlers","GBR",1,2016
"170",376,2016-01-24,51.8,1.5,235016196,0.504444444444444,"trawlers","GBR",1,2016
"171",377,2016-01-24,51.8,1.4,235016196,1.08625,"trawlers","GBR",1,2016
"172",378,2016-01-24,51.8,1.2,235016196,0.582361111111111,"trawlers","GBR",1,2016
"173",380,2016-01-24,51.8,-6.9,205322000,4.30708333333333,"trawlers","BEL",1,2016
"174",381,2016-01-24,51.8,-7,205322000,14.6259722222222,"trawlers","BEL",1,2016
"175",382,2016-01-24,51.8,3.9,245247000,0.237638888888889,"trawlers","NLD",1,2016
"176",383,2016-01-24,51.8,-10.9,250196000,2.08083333333333,"trawlers","IRL",1,2016
"177",384,2016-01-24,51.8,-11,250196000,4.51638888888889,"trawlers","IRL",1,2016
"178",387,2016-01-24,51.8,-14,250184000,16.4748611111111,"trawlers","IRL",1,2016
"179",388,2016-01-24,51.8,3.9,245703000,0.259166666666667,"trawlers","NLD",1,2016
"180",389,2016-01-24,51.8,-13.7,232326000,6.22458333333333,"fixed_gear","GBR",1,2016
"181",392,2016-01-24,51.8,3.9,245445000,0.191666666666667,"trawlers","NLD",1,2016
"182",393,2016-01-24,51.8,-13.9,250350000,0.375555555555556,"trawlers","IRL",1,2016
"183",394,2016-01-24,51.8,-53.7,316323000,0.353888888888889,"trawlers","CAN",1,2016
"184",395,2016-01-24,51.8,-7.2,250392000,0.120555555555556,"trawlers","IRL",1,2016
"185",396,2016-01-24,51.8,-53.6,316065000,7.94972222222222,"trawlers","CAN",1,2016
"186",397,2016-01-24,51.8,-14.2,250000884,9.5775,"trawlers","IRL",1,2016
"187",398,2016-01-24,51.8,-14.1,250000884,6.51680555555556,"trawlers","IRL",1,2016
"188",399,2016-01-24,51.8,-13.9,250002427,2.11972222222222,"trawlers","IRL",1,2016
"189",400,2016-01-24,51.8,-14,250002427,5.22444444444444,"trawlers","IRL",1,2016
"190",401,2016-01-24,77.4,11.2,273354820,2.47069444444444,"trawlers","RUS",1,2016
"191",456,2016-01-24,51.9,-7,205322000,1.44611111111111,"trawlers","BEL",1,2016
"192",457,2016-01-24,51.9,-6.9,205322000,10.4073611111111,"trawlers","BEL",1,2016
"193",458,2016-01-24,51.9,-11,250196000,5.08694444444445,"trawlers","IRL",1,2016
"194",460,2016-01-24,51.9,-14.2,250184000,5.58375,"trawlers","IRL",1,2016
"195",461,2016-01-24,51.9,-14.1,250184000,0.522361111111111,"trawlers","IRL",1,2016
"196",463,2016-01-24,51.9,-13.9,250350000,9.76986111111111,"trawlers","IRL",1,2016
"197",464,2016-01-24,51.9,-53.7,316065000,9.07763888888889,"trawlers","CAN",1,2016
"198",465,2016-01-24,51.9,-53.6,316065000,4.32111111111111,"trawlers","CAN",1,2016
"199",466,2016-01-24,51.9,-13.9,250002427,1.81041666666667,"trawlers","IRL",1,2016
"200",467,2016-01-24,77.5,10.8,273891000,0.780555555555556,"trawlers","RUS",1,2016
"201",519,2016-01-24,52,-15.2,227583000,12.2913888888889,"trawlers","FRA",1,2016
"202",520,2016-01-24,52,-15.1,227583000,1.52097222222222,"trawlers","FRA",1,2016
"203",531,2016-01-24,52,-13.8,250350000,3.29680555555556,"trawlers","IRL",1,2016
"204",532,2016-01-24,52,-13.9,250350000,2.28819444444444,"trawlers","IRL",1,2016
"205",535,2016-01-24,52,-53.7,316065000,0.882083333333333,"trawlers","CAN",1,2016
"206",536,2016-01-24,52,-53.8,316065000,0.920833333333333,"trawlers","CAN",1,2016
"207",537,2016-01-24,77.6,14.3,273355780,4.84430555555556,"trawlers","RUS",1,2016
"208",538,2016-01-24,77.6,14.2,273355780,2.46944444444444,"trawlers","RUS",1,2016
"209",539,2016-01-24,77.6,14.6,273355780,0.776666666666667,"trawlers","RUS",1,2016
"210",540,2016-01-24,77.6,14.5,273355780,5.81402777777778,"trawlers","RUS",1,2016
"211",541,2016-01-24,77.6,14.4,273355780,2.45972222222222,"trawlers","RUS",1,2016
"212",542,2016-01-24,77.6,10.5,273891000,0.772222222222222,"trawlers","RUS",1,2016
"213",543,2016-01-24,77.6,10.8,273891000,0.914027777777778,"trawlers","RUS",1,2016
"214",575,2016-01-24,52.1,-15.1,227583000,6.00513888888889,"trawlers","FRA",1,2016
"215",576,2016-01-24,52.1,-15.2,227583000,3.19722222222222,"trawlers","FRA",1,2016
"216",577,2016-01-24,52.1,-10,250000707,5.78333333333333,"trawlers","IRL",1,2016
"217",578,2016-01-24,52.1,-11.8,228067700,0.700138888888889,"trawlers","FRA",1,2016
"218",579,2016-01-24,52.1,-11.9,228067700,3.86972222222222,"trawlers","FRA",1,2016
"219",582,2016-01-24,52.1,-13.8,227385000,4.81361111111111,"fixed_gear","FRA",1,2016
"220",588,2016-01-24,52.1,-53.6,316065000,0.0590277777777778,"trawlers","CAN",1,2016
"221",589,2016-01-24,77.7,10.5,273891000,1.86208333333333,"trawlers","RUS",1,2016
"222",642,2016-01-24,52.2,-15.1,227583000,6.30041666666667,"trawlers","FRA",1,2016
"223",643,2016-01-24,52.2,-11.7,228067700,12.5670833333333,"trawlers","FRA",1,2016
"224",647,2016-01-24,52.2,-13.5,227385000,8.11847222222222,"fixed_gear","FRA",1,2016
"225",648,2016-01-24,52.2,-13.7,227385000,3.46180555555556,"fixed_gear","FRA",1,2016
"226",696,2016-01-24,52.3,-53.7,316067000,0.785833333333333,"trawlers","CAN",1,2016
"227",697,2016-01-24,52.3,-53.9,316067000,10.2318055555556,"trawlers","CAN",1,2016
"228",698,2016-01-24,52.3,-53.8,316067000,2.13583333333333,"trawlers","CAN",1,2016
"229",751,2016-01-24,52.4,-53.9,316067000,1.89611111111111,"trawlers","CAN",1,2016
"230",752,2016-01-24,52.4,-53.8,316067000,9.01888888888889,"trawlers","CAN",1,2016
"231",792,2016-01-24,52.5,-4.8,235097047,9.67333333333333,"trawlers","GBR",1,2016
"232",793,2016-01-24,52.5,-4.7,235097047,8.97777777777778,"trawlers","GBR",1,2016
"233",889,2016-01-24,78.3,16,331036000,0.391805555555556,"trawlers","GRL",1,2016
"234",890,2016-01-24,78.3,15.1,331036000,0.534444444444444,"trawlers","GRL",1,2016
"235",891,2016-01-24,78.3,15.9,331036000,0.392083333333333,"trawlers","GRL",1,2016
"236",892,2016-01-24,78.3,15.9,277442000,0.126944444444444,"trawlers","LTU",1,2016
"237",893,2016-01-24,78.3,16,277442000,0.985416666666666,"trawlers","LTU",1,2016
"238",894,2016-01-24,78.3,15.9,259383000,0.215555555555556,"trawlers","NOR",1,2016
"239",895,2016-01-24,78.3,15.8,259383000,0.40375,"trawlers","NOR",1,2016
"240",923,2016-01-24,78.4,15.4,331036000,0.896388888888889,"trawlers","GRL",1,2016
"241",924,2016-01-24,78.4,15.7,331036000,2.97166666666667,"trawlers","GRL",1,2016
"242",925,2016-01-24,78.4,16,331036000,0.80125,"trawlers","GRL",1,2016
"243",926,2016-01-24,78.4,15.1,331036000,1.32833333333333,"trawlers","GRL",1,2016
"244",927,2016-01-24,78.4,15.8,331036000,3.34638888888889,"trawlers","GRL",1,2016
"245",928,2016-01-24,78.4,15.9,331036000,4.84,"trawlers","GRL",1,2016
"246",929,2016-01-24,78.4,15.5,331036000,1.64027777777778,"trawlers","GRL",1,2016
"247",930,2016-01-24,78.4,15.3,331036000,1.09875,"trawlers","GRL",1,2016
"248",931,2016-01-24,78.4,15.6,331036000,2.76194444444444,"trawlers","GRL",1,2016
"249",932,2016-01-24,78.4,15.4,277442000,0.780555555555556,"trawlers","LTU",1,2016
"250",933,2016-01-24,78.4,15.8,277442000,3.54263888888889,"trawlers","LTU",1,2016
"251",934,2016-01-24,78.4,15.6,277442000,3.99125,"trawlers","LTU",1,2016
"252",935,2016-01-24,78.4,15.7,277442000,3.67486111111111,"trawlers","LTU",1,2016
"253",936,2016-01-24,78.4,15.5,277442000,2.38569444444444,"trawlers","LTU",1,2016
"254",937,2016-01-24,78.4,16,277442000,2.10833333333333,"trawlers","LTU",1,2016
"255",938,2016-01-24,78.4,15.9,277442000,5.77722222222222,"trawlers","LTU",1,2016
"256",939,2016-01-24,78.4,15,259383000,0.280694444444444,"trawlers","NOR",1,2016
"257",940,2016-01-24,78.4,15.7,259383000,3.20625,"trawlers","NOR",1,2016
"258",941,2016-01-24,78.4,15.9,259383000,2.03541666666667,"trawlers","NOR",1,2016
"259",942,2016-01-24,78.4,15.3,259383000,2.25375,"trawlers","NOR",1,2016
"260",943,2016-01-24,78.4,15.2,259383000,2.05819444444444,"trawlers","NOR",1,2016
"261",944,2016-01-24,78.4,15.4,259383000,2.56902777777778,"trawlers","NOR",1,2016
"262",945,2016-01-24,78.4,15.1,259383000,1.33805555555556,"trawlers","NOR",1,2016
"263",946,2016-01-24,78.4,15.6,259383000,3.7801388888889,"trawlers","NOR",1,2016
"264",947,2016-01-24,78.4,15.8,259383000,3.0675,"trawlers","NOR",1,2016
"265",948,2016-01-24,78.4,15.5,259383000,2.87180555555556,"trawlers","NOR",1,2016
"266",969,2016-01-24,52.9,4.9,244042000,0.290138888888889,"trawlers","NLD",1,2016
"267",970,2016-01-24,52.9,-10,235058829,3.86430555555556,"trawlers","GBR",1,2016
"268",971,2016-01-24,52.9,4.9,244090000,0.562777777777778,"trawlers","NLD",1,2016
"269",972,2016-01-24,52.9,4.9,244684000,0.166666666666667,"trawlers","NLD",1,2016
"270",973,2016-01-24,52.9,4.9,246145000,0.595555555555556,"trawlers","NLD",1,2016
"271",1000,2016-01-24,53,5,244070927,0.750138888888889,"trawlers","NLD",1,2016
"272",1002,2016-01-24,53,5.1,244820038,0.514444444444444,"trawlers","NLD",1,2016
"273",1003,2016-01-24,53,-10.2,235058829,2.33361111111111,"trawlers","GBR",1,2016
"274",1004,2016-01-24,53,-10,235058829,3.81472222222222,"trawlers","GBR",1,2016
"275",1005,2016-01-24,53,4.9,246145000,0.0640277777777778,"trawlers","NLD",1,2016
"276",1123,2016-01-24,53.2,4.9,244615990,2.51541666666667,"trawlers","NLD",1,2016
"277",1124,2016-01-24,53.2,5.2,245416000,0.109444444444444,"trawlers","NLD",1,2016
"278",1125,2016-01-24,53.2,5.1,244572000,0.222361111111111,"trawlers","NLD",1,2016
"279",1126,2016-01-24,53.2,4.5,244670837,3.13777777777778,"fixed_gear","NLD",1,2016
"280",1128,2016-01-24,53.2,-52.1,316011910,13.57625,"trawlers","CAN",1,2016
"281",1129,2016-01-24,53.2,-52,316011910,0.756666666666667,"trawlers","CAN",1,2016
"282",1130,2016-01-24,53.2,5.2,245700000,0.403333333333333,"trawlers","NLD",1,2016
"283",1131,2016-01-24,53.2,5.2,244610000,0.129444444444444,"trawlers","NLD",1,2016
"284",1132,2016-01-24,53.2,5.3,244610000,0.306666666666667,"trawlers","NLD",1,2016
"285",1213,2016-01-24,53.3,5.2,246194000,2.76888888888889,"trawlers","NLD",1,2016
"286",1214,2016-01-24,53.3,5.1,245520000,0.296111111111111,"trawlers","NLD",1,2016
"287",1218,2016-01-24,53.3,-52.1,316011910,0.761805555555556,"trawlers","CAN",1,2016
"288",1219,2016-01-24,53.3,-52.2,316011910,3.38180555555556,"trawlers","CAN",1,2016
"289",1220,2016-01-24,53.3,-5.8,250003137,0.787638888888889,"trawlers","IRL",1,2016
"290",1221,2016-01-24,53.3,-5.9,250003137,2.11527777777778,"trawlers","IRL",1,2016
"291",1264,2016-01-24,53.4,-11.9,227275010,3.50541666666667,"trawlers","FRA",1,2016
"292",1265,2016-01-24,53.4,-11.8,227275010,8.02861111111111,"trawlers","FRA",1,2016
"293",1273,2016-01-24,53.4,-3.9,235002718,0.255694444444444,"trawlers","GBR",1,2016
"294",1274,2016-01-24,53.4,-3.8,235002718,4.95208333333333,"trawlers","GBR",1,2016
"295",1275,2016-01-24,53.4,-52.3,316011910,0.88875,"trawlers","CAN",1,2016
"296",1276,2016-01-24,53.4,-52.4,316011910,0.170555555555556,"trawlers","CAN",1,2016
